year,imdb,title
2006,tt0416496,Bandidas
2006,tt0454082,Black Christmas
2006,tt0450259,Blood Diamond
2006,tt0479647,"Bon Cop, Bad Cop"
2006,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
2006,tt0470705,Bug
2006,tt0317219,Cars
2006,tt0381061,Casino Royale
2006,tt0206634,Children of Men
2006,tt0424345,Clerks II
2006,tt0479884,Crank
2006,tt0405094,Das Leben Der Anderen
2006,tt0398913,DOA: Dead or Alive
2006,tt0457430,El laberinto del fauno (Pan's Labyrinth)
2006,tt0449010,Eragon
2006,tt0457572,Fido
2006,tt0414982,Final Destination 3
2006,tt0424095,Flushed Away
2006,tt0470765,For Your Consideration
2006,tt0436331,Friends with Money
2006,tt0438097,Ice Age: The Meltdown
2006,tt0417225,Idlewild
2006,tt0454848,Inside Man
2006,tt0493430,Jackass Number Two
2006,tt0452637,Lady in the Water
2006,tt0408985,Last Holiday
2006,tt0498380,Letters from Iwo Jima
2006,tt0404203,Little Children
2006,tt0449059,Little Miss Sunshine
2006,tt0490166,London To Brighton
2006,tt0425210,Lucky Number Slevin
2006,tt0483726,Man of the Year
2006,tt0422720,Marie Antoinette
2006,tt0482546,Miss Potter
2006,tt0385880,Monster House
2006,tt0457510,Nacho Libre
2006,tt0477347,Night at the Museum
2006,tt0465551,Notes on a Scandal
2006,tt0907657,Once
2006,tt0400717,Open Season
2006,tt0401711,Paris je t&#39;aime
2006,tt0396171,Perfume: The Story of a Murderer
2006,tt0383574,Pirates of the Caribbean: Dead Man&#39;s Chest
2006,tt0409182,Poseidon
2006,tt0451176,Quinceanera
2006,tt0405508,Rang De Basanti
2006,tt0439289,Running with Scissors
2006,tt0454945,She&#39;s the Man
2006,tt0423169,Sherrybaby
2006,tt0367027,Shortbus
2006,tt0384537,Silent Hill
2006,tt0439815,Slither
2006,tt0475394,Smokin&#39; Aces
2006,tt0417148,Snakes on a Plane
2006,tt0405336,Southland Tales
2006,tt0430634,Stick It
2006,tt0420223,Stranger Than Fiction
2006,tt0348150,Superman Returns
